14:04:23:654 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** completed TC_002_verifyCenter********
14:05:49:369 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
14:05:49:377 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
14:05:52:851 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
14:05:52:869 [main] INFO  testCases.TC002_verifyNumberOfCenters - *****Type New York into search box and press Enter ****
14:06:05:430 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** verify if a number of found centers is the same as a number of centers displayed on the below list ********
14:06:21:402 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
14:06:21:406 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
14:06:25:217 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
14:06:32:111 [main] INFO  testCases.TC002_verifyNumberOfCenters - *****Type New York into search box and press Enter ****
14:06:50:641 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** verify if a number of found centers is the same as a number of centers displayed on the below list ********
14:06:52:597 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Click on the first center on the list ********
14:06:53:960 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify if center name and address are the same on the list and on the popup ********
14:08:48:459 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
14:08:48:463 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
14:08:53:766 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
14:08:53:780 [main] INFO  testCases.TC002_verifyNumberOfCenters - *****Type New York into search box and press Enter ****
